Ano,Grupo,Quadrilha,Etapa,TotalEtapa
2024,GRUPO ESPECIAL,PINGA EM MIM,2ª ETAPA,206.8
2024,GRUPO ESPECIAL,COISAS DA ROÇA,2ª ETAPA,208.1
2024,GRUPO ESPECIAL,FORNALHA,2ª ETAPA,206.9
2024,GRUPO ESPECIAL,XIQUE XIQUE,2ª ETAPA,206.0
2024,GRUPO ESPECIAL,XÉM NHEM NHÉM,2ª ETAPA,206.7
2024,GRUPO ESPECIAL,ARROXA O NÓ,3ª ETAPA,209.8
2024,GRUPO ESPECIAL,FORMIGA DA ROÇA,3ª ETAPA,210.0
2024,GRUPO ESPECIAL,RIBULIÇO,3ª ETAPA,209.9
2024,GRUPO ESPECIAL,XAMEGAR,3ª ETAPA,209.2
2024,GRUPO ESPECIAL,MALA VÉIA,3ª ETAPA,208.6
2024,GRUPO ESPECIAL,RASGA O FOLE,3ª ETAPA,209.0
2024,GRUPO ESPECIAL,CAIPIRADA,3ª ETAPA,208.5
2024,GRUPO ESPECIAL,EITA BAGACEIRA,3ª ETAPA,207.9
2024,GRUPO ESPECIAL,AMOR JUNINO,3ª ETAPA,208.8
2024,GRUPO ESPECIAL,ARRAIÁ DOS MATUTOS,3ª ETAPA,208.4
2024,GRUPO ESPECIAL,PINGA EM MIM,3ª ETAPA,208.3
2024,GRUPO ESPECIAL,COISAS DA ROÇA,3ª ETAPA,208.7
2024,GRUPO ESPECIAL,FORNALHA,3ª ETAPA,207.7
2024,GRUPO ESPECIAL,XIQUE XIQUE,3ª ETAPA,206.5
2024,GRUPO ESPECIAL,XÉM NHEM NHÉM,3ª ETAPA,204.7
2024,GRUPO ESPECIAL,ARROXA O NÓ,4ª ETAPA,209.6
2024,GRUPO ESPECIAL,FORMIGA DA ROÇA,4ª ETAPA,210.0
2024,GRUPO ESPECIAL,RIBULIÇO,4ª ETAPA,209.4
2024,GRUPO ESPECIAL,XAMEGAR,4ª ETAPA,209.1
2024,GRUPO ESPECIAL,MALA VÉIA,4ª ETAPA,207.6
2024,GRUPO ESPECIAL,RASGA O FOLE,4ª ETAPA,209.0
2024,GRUPO ESPECIAL,CAIPIRADA,4ª ETAPA,209.1
2024,GRUPO ESPECIAL,EITA BAGACEIRA,4ª ETAPA,209.1
2024,GRUPO ESPECIAL,AMOR JUNINO,4ª ETAPA,209.2
2024,GRUPO ESPECIAL,ARRAIÁ DOS MATUTOS,4ª ETAPA,207.2
2024,GRUPO ESPECIAL,PINGA EM MIM,4ª ETAPA,207.1
2024,GRUPO ESPECIAL,COISAS DA ROÇA,4ª ETAPA,207.7
2024,GRUPO ESPECIAL,FORNALHA,4ª ETAPA,207.2
2024,GRUPO ESPECIAL,XIQUE XIQUE,4ª ETAPA,205.9
